time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA
1574823900,27056,27056,27056,27056,26992.08,NaN,NaN,NaN,NaN,27056,1,6.1
1574824200,27058,27058,27058,27058,27002.772,NaN,NaN,NaN,NaN,27058,1,6.1
1574825100,27035,27036,27029,27034,27012.394800000002,NaN,NaN,NaN,NaN,27033.5,22,7.1
1574825400,27034,27034,27030,27031,27021.055320000003,NaN,NaN,NaN,NaN,27032.25,8,7.25
1574831100,27018,27018,27018,27018,27099,NaN,NaN,27099,27099,27018,4,7.4
1574831400,27018,27018,27013,27013,27090.9,NaN,NaN,NaN,NaN,27015.5,3,5.1
1574831700,27020,27024,27020,27024,27081.552,NaN,NaN,NaN,NaN,27022,26,5.35
1574832000,27025,27025,27025,27025,27073.32576,NaN,NaN,NaN,NaN,27025,1,4.95
1574832600,26999,26999,26999,26999,27066.0866688,NaN,NaN,NaN,NaN,26999,1,4.6
1574833200,27011,27011,27011,27011,27056.694535168,NaN,NaN,NaN,NaN,27011,2,4.1
1574833500,27002,27002,26992,26992,27048.61730024448,NaN,NaN,NaN,NaN,26997,21,5.05
1574833800,26993,26993,26985,26989,27039.558532205363,NaN,NaN,NaN,NaN,26990,80,9
1574834100,26995,26995,26989,26989,27029.7379964084,NaN,NaN,NaN,NaN,26992,11,9.5
1574834700,27005,27005,27005,27005,27021.685157054886,NaN,NaN,NaN,NaN,27005,1,9.5
1574835000,27003,27004,27003,27004,27015.081828785005,NaN,NaN,NaN,NaN,27003.5,2,9.55
1574835300,27005,27005,27005,27005,27009.667099603703,NaN,NaN,NaN,NaN,27005,1,9.55
1574837100,27027,27027,27027,27027,26985,26985,26985,NaN,NaN,27027,1,9.5
1574837700,27044,27044,27044,27044,26989.2,NaN,NaN,NaN,NaN,27044,1,9.5
